Rank,Title,Year,Duration,Rating,Poster_URL
210,The General,1926,1h 18m,8.1 (106K),"https://m.media-amazon.com/images/M/MV5BMTVhM2Y1MDUtMDkxYi00Y2UxLWI2MTMtZjMzYTY4ODM4MGIzXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
211,Logan,2017,2h 17m,8.1 (919K),"https://m.media-amazon.com/images/M/MV5BM2JjODdkMGMtNmY2YS00OGM2LThiY2YtZGYyNzE4Nzc2ODA0XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
212,Rocky,1976,2h,8.1 (683K),"https://m.media-amazon.com/images/M/MV5BZDEyY2M2MGMtYjg5OC00ZWFjLWFkZDQtNmQzZTdiYmYzZTBkXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
213,Mr. Smith Goes to Washington,1939,2h 9m,8.1 (129K),"https://m.media-amazon.com/images/M/MV5BMDU4ZjNmMjEtMjcxYi00NDAxLWFlMjQtNWIyNjg5NWUzNTdjXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
214,On the Waterfront,1954,1h 48m,8.1 (177K),"https://m.media-amazon.com/images/M/MV5BZDJlYTM1ZGYtZTM4YS00MzFhLThiZjktYzQ0ZjAzMGYwZTU3XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
215,Tokyo Story,1953,2h 17m,8.1 (77K),"https://m.media-amazon.com/images/M/MV5BODdkNzcxZjItMDU2Yy00Y2JlLWFkYTQtNzIwM2Q4MWU5MTU2XkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
216,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,8.1 (1.3M),"https://m.media-amazon.com/images/M/MV5BNDhlMzEyNzItMTA5Mi00YWRhLThlNTktYTQyMTA0MDIyNDEyXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
217,Wild Strawberries,1957,1h 32m,8.1 (124K),"https://m.media-amazon.com/images/M/MV5BZWQ5MDllM2EtZWRmNS00MmZiLWI4ZWQtMjRiY2Q5MTAxODY4XkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
218,Spotlight,2015,2h 9m,8.1 (532K),"https://m.media-amazon.com/images/M/MV5BMjIyOTM5OTIzNV5BMl5BanBnXkFtZTgwMDkzODE2NjE@._V1_QL75_UY133_CR0,0,90,133_.jpg"
219,La haine,1995,1h 38m,8.1 (223K),"https://m.media-amazon.com/images/M/MV5BMThlMDA3NDYtZGM2Zi00NmJhLThlYWItZjViZTkzZWU1ZWRiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
220,A Silent Voice: The Movie,2016,2h 10m,8.2 (138K),"https://m.media-amazon.com/images/M/MV5BOTFiNzRiOWEtYTQwNy00NmRiLWE0ZWYtNTE0YjExZjFmZjkwXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
221,The Terminator,1984,1h 47m,8.1 (997K),"https://m.media-amazon.com/images/M/MV5BZmE0YzIxM2QtMGNlMi00MjRmLWE3MWMtOWQzMGVjMmU0YTFmXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
222,Maharaja,2024,2h 21m,8.3 (80K),"https://m.media-amazon.com/images/M/MV5BOTFlMTIxOGItZTk0Zi00MTk2LWJiM2UtMzlhZWYzNjQ4N2Y3XkEyXkFqcGc@._V1_QL75_UY133_CR5,0,90,133_.jpg"
223,The Third Man,1949,1h 44m,8.1 (194K),"https://m.media-amazon.com/images/M/MV5BNGVjMTMxZTQtMmVlNy00YmI0LWJjMDUtYTgyZWU1Njg5ZGRiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
224,The Sound of Music,1965,2h 54m,8.1 (289K),"https://m.media-amazon.com/images/M/MV5BYWJhYmU4MjQtZDJhYi00ZGVjLTlkNTEtNzkzNGVjOWQ3MjcwXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
225,Jai Bhim,2021,2h 44m,8.6 (233K),"https://m.media-amazon.com/images/M/MV5BZjEyNDIzNmEtMjdkYS00ZDAwLTljOWYtNDRhYTVhYTlmOTk1XkEyXkFqcGc@._V1_QL75_UY133_CR8,0,90,133_.jpg"
226,The Big Lebowski,1998,1h 57m,8.1 (912K),"https://m.media-amazon.com/images/M/MV5BY2E3OWQ5OWYtYTRkMC00NjVjLWIzZDQtNmRmM2ZiYTIyYmYxXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
227,The Best Years of Our Lives,1946,2h 50m,8.1 (77K),"https://m.media-amazon.com/images/M/MV5BNTgxMzUyODQtMDJmZC00ZGMyLWI3MzAtZTYwYjBjZjFmMzIxXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
228,The Seventh Seal,1957,1h 36m,8.1 (215K),"https://m.media-amazon.com/images/M/MV5BZDlmYTkzOWUtODQ0MS00MmM4LWE3ZjMtYTEwNGUwMmJkYzIxXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
229,Room,2015,1h 58m,8.1 (478K),"https://m.media-amazon.com/images/M/MV5BMjE4NzgzNzEwMl5BMl5BanBnXkFtZTgwMTMzMDE0NjE@._V1_QL75_UX90_CR0,0,90,133_.jpg"
230,Before Sunset,2004,1h 20m,8.1 (313K),"https://m.media-amazon.com/images/M/MV5BMTQ1MjAwNTM5Ml5BMl5BanBnXkFtZTYwNDM0MTc3._V1_QL75_UY133_CR0,0,90,133_.jpg"
231,Hotel Rwanda,2004,2h 1m,8.1 (391K),"https://m.media-amazon.com/images/M/MV5BY2FmMWRmZmQtN2IzMS00OGVmLWFmNjktMTM0YWQzODcwYTEwXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
232,Platoon,1986,2h,8.1 (470K),"https://m.media-amazon.com/images/M/MV5BZjE4YjllODAtZGMxZS00Mjg2LThkOWUtZjNkMjQ5YThiNDU4XkEyXkFqcGc@._V1_QL75_UX90_CR0,4,90,133_.jpg"
233,The Incredibles,2004,1h 55m,8.0 (892K),"https://m.media-amazon.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
234,Chainsaw Man - The Movie: Reze Arc,2025,1h 40m,8.3 (47K),"https://m.media-amazon.com/images/M/MV5BZmMzNGVhODktYmU5MS00MDg1LThlNTEtNTMyYTg5MDA0Njk4XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
235,Hachi: A Dog's Tale,2009,1h 33m,8.1 (340K),"https://m.media-amazon.com/images/M/MV5BNTU5NjYyYTgtZGQ3My00MzRhLThjNGYtZmVjN2JjYjhkMjhhXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
236,The Exorcist,1973,2h 2m,8.1 (495K),"https://m.media-amazon.com/images/M/MV5BZjg3YjE4ZjAtYTdmYS00ZTBkLWE1ZjgtNzAzODUwNzRiYjlmXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
237,Rush,2013,2h 3m,8.1 (555K),"https://m.media-amazon.com/images/M/MV5BMTZhOGQxM2ItNGQyYy00YzE5LWI5MjMtNmMzNGQzNDE1OTUzXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
238,The Wizard of Oz,1939,1h 42m,8.1 (465K),"https://m.media-amazon.com/images/M/MV5BYWRmY2I0MGItYTQ0OC00NWZmLWIwMDktYjJlNDc0MzVhMmViXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
239,The Iron Giant,1999,1h 26m,8.1 (257K),"https://m.media-amazon.com/images/M/MV5BODM4ZjZjMGEtYmFiMy00MThjLWIzZjUtMDU0ODg1NTI2MzIwXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
240,Stand by Me,1986,1h 29m,8.1 (483K),"https://m.media-amazon.com/images/M/MV5BNGJkNTUwM2MtZWE2MS00YjNkLWE3MjktNWQwZDQxMDIyZWVmXkEyXkFqcGc@._V1_QL75_UX90_CR0,4,90,133_.jpg"
241,The Passion of Joan of Arc,1928,1h 54m,8.1 (68K),"https://m.media-amazon.com/images/M/MV5BNTE1MDliZjgtYTU2Yy00YjAxLTljYTItNDE2ZGYwYTY1MGQ1XkEyXkFqcGc@._V1_QL75_UX90_CR0,4,90,133_.jpg"
242,My Father and My Son,2005,1h 52m,8.2 (100K),"https://m.media-amazon.com/images/M/MV5BZDE3MTBkNmQtNGFjMC00YTcwLWExY2ItN2MyMGZkNWJlMmFmXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
243,The Battle of Algiers,1966,2h 1m,8.1 (75K),"https://m.media-amazon.com/images/M/MV5BMTY2Mjk0OGEtYTM3Yy00ZWZiLWFhNjAtNGExMjEzNGVmMDMxXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
244,The Handmaiden,2016,2h 25m,8.1 (200K),"https://m.media-amazon.com/images/M/MV5BOTllZDI1OGItOGUxNS00OGZhLWIzMjAtYzllZTY1YTA0ZmYwXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
245,Network,1976,2h 1m,8.1 (185K),"https://m.media-amazon.com/images/M/MV5BY2E4ZGJiNTMtZTAxZC00MmVlLWI1NjYtMGVhMjhkOGEwZDhjXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
246,To Be or Not to Be,1942,1h 39m,8.1 (49K),"https://m.media-amazon.com/images/M/MV5BMTA5OTRkZGUtNDhhOS00OThmLTgwZWYtZGZkM2M4YjZhNzc5XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
247,Gangs of Wasseypur,2012,5h 21m,8.2 (113K),"https://m.media-amazon.com/images/M/MV5BNWQyMmJkYTItNDUyYS00MjgwLWFmYjUtOWQ1NmRjOGZlOTZhXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg"
248,Drishyam,2015,2h 43m,8.2 (108K),"https://m.media-amazon.com/images/M/MV5BMDRlZWFkMjEtYmYyZi00MmE5LWIzMzUtYmM2N2M5Y2UxZDJjXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
249,The Grapes of Wrath,1940,2h 9m,8.1 (108K),"https://m.media-amazon.com/images/M/MV5BZjIxZWJjZDktOGVhOC00Y2YyLThlMjMtOWMxYmI5MmFiN2QzXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
250,Drishyam,2013,2h 40m,8.4 (48K),"https://m.media-amazon.com/images/M/MV5BM2MwMjNlNjctYjA2ZS00ZDA4LWJmNTYtODg5NDY1YzQzZDg2XkEyXkFqcGc@._V1_QL75_UY133_CR6,0,90,133_.jpg"
